ABW,Aruba,Latin America and the Caribbean,Americas
AFG,Afghanistan,Southern Asia,Asia
AGO,Angola,Sub-Saharan Africa,Africa
AIA,Anguilla,Latin America and the Caribbean,Americas
ALA,Åland Islands,Northern Europe,Europe
ALB,Albania,Southern Europe,Europe
AND,Andorra,Southern Europe,Europe
ARE,United Arab Emirates,Western Asia,Asia
ARG,Argentina,Latin America and the Caribbean,Americas
ARM,Armenia,Western Asia,Asia
ASM,American Samoa,Polynesia,Oceania
ATA,Antarctica,,
ATF,French Southern Territories,Sub-Saharan Africa,Africa
ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas
AUS,Australia,Australia and New Zealand,Oceania
AUT,Austria,Western Europe,Europe
AZE,Azerbaijan,Western Asia,Asia
BDI,Burundi,Sub-Saharan Africa,Africa
BEL,Belgium,Western Europe,Europe
BEN,Benin,Sub-Saharan Africa,Africa
BFA,Burkina Faso,Sub-Saharan Africa,Africa
BGD,Bangladesh,Southern Asia,Asia
BGR,Bulgaria,Eastern Europe,Europe
BHR,Bahrain,Western Asia,Asia
BHS,Bahamas,Latin America and the Caribbean,Americas
BIH,Bosnia and Herzegovina,Southern Europe,Europe
BLM,Saint Barthélemy,Latin America and the Caribbean,Americas
BLR,Belarus,Eastern Europe,Europe
BLZ,Belize,Latin America and the Caribbean,Americas
BMU,Bermuda,Northern America,Americas
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
BQ,Bonaire,Latin America and the Caribbean,Americas
BRA,Brazil,Latin America and the Caribbean,Americas
BRB,Barbados,Latin America and the Caribbean,Americas
BRN,Brunei Darussalam,South-eastern Asia,Asia
BTN,Bhutan,Southern Asia,Asia
BVT,Bouvet Island,Latin America and the Caribbean,Americas
BWA,Botswana,Sub-Saharan Africa,Africa
CAF,Central African Republic,Sub-Saharan Africa,Africa
CAN,Canada,Northern America,Americas
CCK,Cocos (Keeling) Islands,Australia and New Zealand,Oceania
CHE,Switzerland,Western Europe,Europe
CHL,Chile,Latin America and the Caribbean,Americas
CHN,China,Eastern Asia,Asia
CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa
CMR,Cameroon,Sub-Saharan Africa,Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa
COG,Congo,Sub-Saharan Africa,Africa
COK,Cook Islands,Polynesia,Oceania
COL,Colombia,Latin America and the Caribbean,Americas
COM,Comoros,Sub-Saharan Africa,Africa
CPV,Cabo Verde,Sub-Saharan Africa,Africa
CRI,Costa Rica,Latin America and the Caribbean,Americas
CRQ,Sark,Northern Europe,Europe
CUB,Cuba,Latin America and the Caribbean,Americas
CUW,Curaçao,Latin America and the Caribbean,Americas
CXR,Christmas Island,Australia and New Zealand,Oceania
CYM,Cayman Islands,Latin America and the Caribbean,Americas
CYP,Cyprus,Western Asia,Asia
CZE,Czechia,Eastern Europe,Europe
DEU,Germany,Western Europe,Europe
DJI,Djibouti,Sub-Saharan Africa,Africa
DMA,Dominica,Latin America and the Caribbean,Americas
DNK,Denmark,Northern Europe,Europe
DOM,Dominican Republic,Latin America and the Caribbean,Americas
DZA,Algeria,Northern Africa,Africa
ECU,Ecuador,Latin America and the Caribbean,Americas
EGY,Egypt,Northern Africa,Africa
ERI,Eritrea,Sub-Saharan Africa,Africa
ESH,Western Sahara,Northern Africa,Africa
